120 Kfa 80.0 0.0
30 Kfa 160.0 0.0
30 Kfa 240.0 0.0
30 Kfa 320.0 0.0
30 Kfa 400.0 0.0
30 Kfa 480.0 0.0
30 Kfa 560.0 0.0
30 Kfa 640.0 0.0
30 Kfa 80.0 0.0
30 Kfa 160.0 0.0
30 Kfa 240.0 0.0
30 Kfa 320.0 0.0
30 Kfa 400.0 0.0
30 Kfa 480.0 0.0
30 Kfa 560.0 0.0
30 Kfa 640.0 0.0
120 Kfa 640.0 0.0
30 Kfa 560.0 0.0
30 Kfa 480.0 0.0
30 Kfa 400.0 0.0
30 Kfa 320.0 0.0
30 Kfa 240.0 0.0
30 Kfa 160.0 0.0
30 Kfa 80.0 0.0
30 Kfa 640.0 0.0
30 Kfa 560.0 0.0
30 Kfa 480.0 0.0
30 Kfa 400.0 0.0
30 Kfa 320.0 0.0
30 Kfa 240.0 0.0
30 Kfa 160.0 0.0
30 Kfa 80.0 0.0
180 Ogm 320.0 0.0
60 Ogm 320.0 0.0
60 Ogm 320.0 0.0
360 Pfm 320.0 0.0
